dev_eui,registry_uuid
24e124746d480155,69179071-29d1-43bd-a478-90928324bfb8
24e124746d483449,7f21e39f-edb6-47e0-9ec1-820d77e8daa8
24e124746d483493,163bd34f-d927-4580-9822-41d268dbe36d
24e124746d483531,69c44d27-c9cd-4e7a-b183-f5296c1067fb
24e124746d483612,5f4addbb-7a07-442e-a19f-cc9da7001a11
24e124746d483616,0404d602-ed50-41a2-af60-f90735b6405e
24e124746d489942,c2c261b4-422d-4f5b-990e-b54961602868
24e124746e441775,f30ec3d7-4daf-4729-bf95-b84f2c84c61a
24e124746e507407,a13e7f9d-77d5-4fad-b130-5d871bdaaf92
24e124746e507502,ec28ab42-eeb3-4c08-aeae-266b5207f37e
24e124746f060807,8c8c113e-ee88-4a36-a477-66711430502b
24e124746f063576,0366dfe2-3f16-4b62-8747-d6e4d605b509
24e124746f067909,d3138dbc-8ae2-4d96-8912-734fdae7df5d
